"Timestamp","Vilken åldersgrupp tillhör du?","Är du prenumerant hos DN?","Hur troligt är det att du tecknar paketet?","","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?"
"2021/03/22 10:31:43 am CET","40-65 år","Ja (enbart digitalt)","1","Alldeles för dyrt.","1","1","1","1","1","1","1"
"2021/03/22 10:32:10 am CET","Över 65 år","Ja (papperstidning)","1","Är inte intresserad av en digital prenumeration.","1","1","1","1","1","1","1"
"2021/03/22 10:32:21 am CET","Över 65 år","Nej, men har varit förut","3","Måste ha stenhård kontroll på alla utgifter, då jag drabbats av olycksfall med åtföljande kostnader","3","4","3","3","4","4","3"
"2021/03/22 10:32:22 am CET","40-65 år","Ja (enbart digitalt)","3","","2","4","4","4","4","2","2"
"2021/03/22 10:33:00 am CET","40-65 år","Ja (enbart digitalt)","1","","1","4","1","1","3","2","1"
"2021/03/22 10:33:37 am CET","40-65 år","Ja (enbart digitalt)","5","Skulle uppskatta att slippa annonser enormt mycket. ","5","5","1","5","5","1","5"
"2021/03/22 10:34:48 am CET","Över 65 år","Ja (enbart digitalt)","2","För dyrt i förhållande till vad jag får jämfört med idag.","2","3","2","2","3","5","2"
"2021/03/22 10:34:59 am CET","30-39 år","Ja (enbart digitalt)","2","För dyrt","2","3","2","2","5","5","2"
"2021/03/22 10:35:37 am CET","Över 65 år","Ja (enbart digitalt)","4","","3","5","2","3","3","1","3"
"2021/03/22 10:35:45 am CET","40-65 år","Ja (enbart digitalt)","3","Annonsfritt är uspen, kanske inte är beredd att betala så mycket för det.","2","3","2","3","5","3","2"
"2021/03/22 10:35:51 am CET","40-65 år","Ja (enbart digitalt)","1","alldelles för dyrt","1","4","1","1","4","3","1"
"2021/03/22 10:36:15 am CET","Över 65 år","Ja (enbart digitalt)","2","Nöjd med det jag har","1","1","1","2","4","2","1"
"2021/03/22 10:36:44 am CET","40-65 år","Ja (enbart digitalt)","1","","1","1","1","1","1","1","1"
"2021/03/22 10:37:03 am CET","Över 65 år","Ja (papperstidning)","4","","1","2","1","5","4","3","3"
