"Timestamp","Vilken åldersgrupp tillhör du?","Är du prenumerant hos DN?","Hur troligt är det att du tecknar paketet?","","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?"
"2021/03/22 10:29:01 am CET","30-39 år","Ja (enbart digitalt)","1","För dyrt helt enkelt!","5","1","4","1","3","2","1"
"2021/03/22 10:29:18 am CET","40-65 år","Ja (enbart digitalt)","1","","2","1","2","1","1","1","1"
"2021/03/22 10:31:32 am CET","Över 65 år","Ja (enbart digitalt)","1","För dyrt!","5","2","5","1","1","2","1"
"2021/03/22 10:31:57 am CET","Över 65 år","Ja (enbart digitalt)","2","","3","3","4","2","3","3","2"
"2021/03/22 10:32:23 am CET","Över 65 år","Ja (enbart digitalt)","1","","5","1","1","1","1","1","1"
"2021/03/22 10:32:46 am CET","40-65 år","Ja (papperstidning)","2","Jag vill läsa papperstidningen","2","2","2","2","2","2","2"
"2021/03/22 10:32:58 am CET","40-65 år","Ja (enbart digitalt)","1","Alldeles för högt pris. Har inget behov av 5 extra konton.","3","1","3","1","1","1","1"
"2021/03/22 10:33:15 am CET","Över 65 år","Ja (enbart digitalt)","1","Behöver inte e-tidning löser inte korsord digitalt vill ej ha rabatter behöver inga extra konton","4","1","4","1","1","1","1"
"2021/03/22 10:33:53 am CET","Över 65 år","Ja (enbart digitalt)","1","för dyrt","4","1","3","1","1","1","1"
"2021/03/22 10:33:54 am CET","40-65 år","Ja (enbart digitalt)","2","","5","3","5","1","2","4","2"
"2021/03/22 10:34:01 am CET","40-65 år","Ja (enbart digitalt)","2","Jag betelar 199 kr/mån fn och tycker det är ett bra pris","5","2","5","2","2","2","2"
"2021/03/22 10:34:06 am CET","Över 65 år","Ja (enbart digitalt)","1","Jag läser bara gratis några månader","1","1","1","1","2","1","1"
"2021/03/22 10:35:10 am CET","40-65 år","Ja (enbart digitalt)","5","har allt som jag vill ha","5","4","5","2","4","2","5"
"2021/03/22 10:35:21 am CET","40-65 år","Ja (enbart digitalt)","1","Rätt prisnivå för utlandsboende","5","1","5","1","1","1","1"
"2021/03/22 10:35:41 am CET","40-65 år","Ja (enbart digitalt)","2","Priset","4","2","4","2","2","2","2"
"2021/03/22 10:36:43 am CET","40-65 år","Ja (papperstidning)","4","","5","4","4","3","3","4","4"
"2021/03/22 10:36:49 am CET","40-65 år","Ja (papperstidning)","3","Dyrt","4","2","4","2","3","2","2"
"2021/03/22 10:37:19 am CET","40-65 år","Nej, men har varit förut","1","alldeles för dyrt","3","1","2","1","1","1","1"
"2021/03/22 10:37:52 am CET","Över 65 år","Ja (enbart digitalt)","1","Jag vill inte betala mer än jag gör idag. Löser aldrig   korsord. Vad innebär 5 extra konton? Otydligt. Rabatter på erbjudanden behöver jag inte","1","1","1","1","1","1","1"
"2021/03/22 10:38:18 am CET","40-65 år","Ja (papperstidning)","4","","4","2","3","1","3","2","4"
"2021/03/22 10:38:29 am CET","40-65 år","Ja (papperstidning)","1","Extremt högt pris","2","1","2","1","1","1","1"
"2021/03/22 10:38:48 am CET","40-65 år","Ja (enbart digitalt)","1","Vi valde bort papperstidningen för att vi tyckte att den blivit dyr.  349 kr/mån för en digital prenumeration matchar inte alls användningen. Läser något 1-2 gånger i veckan och då  bara någon enstaka artikel.","3","2","3","1","1","1","1"
"2021/03/22 10:38:52 am CET","40-65 år","Ja (enbart digitalt)","1","Mer än dubbelt så dyrt som det pris jag betalar idag.","5","1","5","1","1","1","1"
"2021/03/22 10:38:59 am CET","40-65 år","Ja (enbart digitalt)","1","För dyrt. Har inte behov av extra konton ","5","2","5","1","1","2","1"
"2021/03/22 10:39:50 am CET","Över 65 år","Ja (enbart digitalt)","4","Kostnaden påverkar valet","4","1","3","1","2","1","4"
"2021/03/22 10:40:07 am CET","Över 65 år","Ja (enbart digitalt)","1","Jag är bara textintresserad","4","2","3","1","1","2","1"
"2021/03/22 10:40:37 am CET","Över 65 år","Ja (papperstidning)","3","Vill ha korsord i pappersformat, resten digitalt","4","3","4","1","2","3","2"
"2021/03/22 10:41:35 am CET","40-65 år","Ja (papperstidning)","3","Helt ointresserad av frågan - svarade slumpmässigt för att komma vidare.","3","3","3","3","3","3","3"
"2021/03/22 10:42:34 am CET","Över 65 år","Nej, men har varit förut","1","För dyrt!","5","1","5","1","1","2","1"
"2021/03/22 10:42:58 am CET","40-65 år","Nej och har aldrig varit","4","Jag har ett av 5 extra konton i en pappersprenumeration. Om den sas upp skulle jag kunna tänka mig att starta egen prenumeration.","4","1","1","1","3","3","4"
"2021/03/22 10:43:01 am CET","40-65 år","Ja (enbart digitalt)","2","Har inte behov av så många konton. För hög månadskostnad.","4","3","3","1","1","3","2"
"2021/03/22 10:43:02 am CET","Över 65 år","Nej och har aldrig varit","1","Jag har SvD + GP + DI + DS och är nöjd","1","1","1","1","1","1","1"
"2021/03/22 10:43:20 am CET","Över 65 år","Ja (papperstidning)","1","Jag är nöjd med som det är, papperstidning och lite digitalt på mobilen.","1","1","1","1","1","1","1"
"2021/03/22 10:44:01 am CET","Över 65 år","Ja (papperstidning)","2","lite för dyrt","4","3","4","2","1","3","2"
"2021/03/22 10:44:03 am CET","40-65 år","Ja (papperstidning)","1","Jag läser det mesta på nätet medans min sambo vill ha tidningen i pappersform","4","2","4","1","1","1","1"
