"Timestamp","Vilken.åldersgrupp.tillhör.du.","Är.du.prenumerant.hos.DN.","Hur.troligt.är.det.att.du.tecknar.paketet.","Hur.troligt.är.det.att.du.tecknar.paketet..1","Hur.troligt.är.det.att.du.tecknar.paketet..2","Hur.troligt.är.det.att.du.tecknar.paketet..3","Hur.troligt.är.det.att.du.tecknar.paketet..4","Hur.troligt.är.det.att.du.tecknar.paketet..5","Hur.troligt.är.det.att.du.tecknar.paketet..6","Hur.troligt.är.det.att.du.tecknar.paketet..7"
"2021/03/22 10:31:43 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:32:10 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 10:32:21 am CET","Över 65 år","Nej, men har varit förut",3,3,4,3,3,4,4,3
"2021/03/22 10:32:22 am CET","40-65 år","Ja (enbart digitalt)",3,2,4,4,4,4,2,2
"2021/03/22 10:33:00 am CET","40-65 år","Ja (enbart digitalt)",1,1,4,1,1,3,2,1
"2021/03/22 10:33:37 am CET","40-65 år","Ja (enbart digitalt)",5,5,5,1,5,5,1,5
"2021/03/22 10:34:48 am CET","Över 65 år","Ja (enbart digitalt)",2,2,3,2,2,3,5,2
"2021/03/22 10:34:59 am CET","30-39 år","Ja (enbart digitalt)",2,2,3,2,2,5,5,2
"2021/03/22 10:35:37 am CET","Över 65 år","Ja (enbart digitalt)",4,3,5,2,3,3,1,3
"2021/03/22 10:35:45 am CET","40-65 år","Ja (enbart digitalt)",3,2,3,2,3,5,3,2
"2021/03/22 10:35:51 am CET","40-65 år","Ja (enbart digitalt)",1,1,4,1,1,4,3,1
"2021/03/22 10:36:15 am CET","Över 65 år","Ja (enbart digitalt)",2,1,1,1,2,4,2,1
"2021/03/22 10:36:44 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:37:03 am CET","Över 65 år","Ja (papperstidning)",4,1,2,1,5,4,3,3
"2021/03/22 10:37:07 am CET","Under 30 år","Nej och har aldrig varit",1,1,1,1,1,1,1,1
"2021/03/22 10:37:46 am CET","Över 65 år","Ja (enbart digitalt)",1,1,3,2,1,3,3,1
"2021/03/22 10:37:46 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 10:38:27 am CET","40-65 år","Ja (enbart digitalt)",4,2,3,1,5,5,2,5
"2021/03/22 10:38:43 am CET","40-65 år","Ja (enbart digitalt)",1,2,5,1,1,3,3,1
"2021/03/22 10:39:16 am CET","40-65 år","Ja (enbart digitalt)",3,1,5,1,3,5,5,1
"2021/03/22 10:39:18 am CET","Över 65 år","Ja (papperstidning)",2,2,2,2,2,2,2,2
"2021/03/22 10:39:44 am CET","40-65 år","Ja (enbart digitalt)",3,1,4,2,1,4,4,1
"2021/03/22 10:40:42 am CET","Över 65 år","Nej, men har varit förut",1,1,3,1,1,3,3,1
"2021/03/22 10:40:54 am CET","Över 65 år","Nej, men har varit förut",3,3,3,3,3,4,4,3
"2021/03/22 10:41:25 am CET","Över 65 år","Ja (papperstidning)",4,2,2,2,3,2,4,2
"2021/03/22 10:41:56 am CET","Över 65 år","Ja (enbart digitalt)",2,3,5,2,3,3,1,2
"2021/03/22 10:42:05 am CET","40-65 år","Ja (enbart digitalt)",1,1,3,1,1,5,1,1
"2021/03/22 10:43:59 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:45:04 am CET","Över 65 år","Ja (papperstidning)",3,2,1,2,3,1,1,2
"2021/03/22 10:45:41 am CET","40-65 år","Ja (papperstidning)",5,4,4,4,4,2,2,3
"2021/03/22 10:45:46 am CET","Över 65 år","Ja (enbart digitalt)",1,1,4,1,1,3,3,1
"2021/03/22 10:46:17 am CET","40-65 år","Ja (papperstidning)",4,2,4,2,3,1,2,2
"2021/03/22 10:46:17 am CET","40-65 år","Ja (enbart digitalt)",4,2,5,2,2,4,4,2
"2021/03/22 10:46:18 am CET","Över 65 år","Ja (papperstidning)",2,2,2,2,2,2,2,2
"2021/03/22 10:47:28 am CET","30-39 år","Ja (enbart digitalt)",1,3,5,2,3,5,3,2
"2021/03/22 10:48:04 am CET","40-65 år","Nej, men har varit förut",1,1,5,1,3,4,5,1
"2021/03/22 10:48:33 am CET","40-65 år","Ja (papperstidning)",3,3,5,3,4,3,1,2
"2021/03/22 10:48:50 am CET","Över 65 år","Ja (enbart digitalt)",1,2,5,1,2,2,1,3
"2021/03/22 10:48:51 am CET","40-65 år","Ja (papperstidning)",1,3,4,2,4,3,2,2
"2021/03/22 10:49:16 am CET","40-65 år","Ja (enbart digitalt)",1,1,5,2,1,4,4,1
"2021/03/22 10:49:47 am CET","Över 65 år","Ja (enbart digitalt)",1,2,5,2,2,1,1,2
"2021/03/22 10:49:52 am CET","40-65 år","Ja (enbart digitalt)",4,5,5,5,5,5,5,5
"2021/03/22 10:50:05 am CET","40-65 år","Ja (papperstidning)",3,1,1,1,1,1,1,1
"2021/03/22 10:50:13 am CET","40-65 år","Ja (enbart digitalt)",2,2,4,2,2,4,4,2
"2021/03/22 10:50:23 am CET","Över 65 år","Ja (enbart digitalt)",2,3,3,2,2,3,3,3
"2021/03/22 10:50:31 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:50:54 am CET","40-65 år","Ja (enbart digitalt)",1,2,3,2,2,4,2,2
"2021/03/22 10:51:17 am CET","Över 65 år","Ja (papperstidning)",1,1,1,2,2,1,2,1
"2021/03/22 10:51:43 am CET","40-65 år","Ja (papperstidning)",4,4,5,5,5,4,5,4
"2021/03/22 10:51:49 am CET","40-65 år","Ja (papperstidning)",3,4,5,3,4,3,3,3
"2021/03/22 10:53:05 am CET","40-65 år","Ja (papperstidning)",2,3,4,2,3,3,3,3
"2021/03/22 10:53:36 am CET","40-65 år","Ja (papperstidning)",2,3,4,2,3,5,1,3
"2021/03/22 10:54:08 am CET","30-39 år","Ja (papperstidning)",3,3,5,2,3,4,3,3
"2021/03/22 10:54:43 am CET","30-39 år","Ja (enbart digitalt)",4,2,3,2,3,4,5,3
"2021/03/22 10:54:56 am CET","40-65 år","Ja (papperstidning)",2,2,4,2,2,2,3,3
"2021/03/22 10:55:13 am CET","40-65 år","Nej, men har varit förut",2,3,4,2,2,4,3,2
"2021/03/22 10:55:21 am CET","40-65 år","Ja (enbart digitalt)",2,2,4,2,2,4,4,2
"2021/03/22 10:55:29 am CET","40-65 år","Ja (enbart digitalt)",1,2,2,1,2,5,3,1
"2021/03/22 10:55:34 am CET","30-39 år","Ja (enbart digitalt)",3,5,5,3,4,5,5,5
"2021/03/22 10:55:56 am CET","Över 65 år","Ja (papperstidning)",4,4,4,3,3,4,2,3
"2021/03/22 10:56:52 am CET","40-65 år","Ja (papperstidning)",3,4,4,4,5,5,4,4
"2021/03/22 10:57:16 am CET","40-65 år","Ja (papperstidning)",4,3,4,3,2,3,3,3
"2021/03/22 10:57:21 am CET","40-65 år","Ja (enbart digitalt)",3,4,5,4,4,2,2,3
"2021/03/22 10:57:40 am CET","40-65 år","Ja (enbart digitalt)",1,2,5,1,2,5,1,2
"2021/03/22 10:59:39 am CET","Över 65 år","Ja (enbart digitalt)",3,2,2,3,2,3,3,3
"2021/03/22 10:59:44 am CET","30-39 år","Nej, men har varit förut",1,3,3,1,4,5,4,4
"2021/03/22 11:00:00 am CET","40-65 år","Ja (papperstidning)",4,5,5,3,5,5,3,5
"2021/03/22 11:00:05 am CET","Över 65 år","Ja (enbart digitalt)",1,1,3,1,1,4,3,1
